year,Edu_log,prov
2015,0.950701643,陕西
2015,0.682238426,甘肃
2015,0.195735862,青海
2015,0.198364252,宁夏
2015,0.777416382,新疆
2016,0.959361984,陕西
2016,0.714466482,甘肃
2016,0.295981626,青海
2016,0.229928478,宁夏
2016,0.802759499,新疆
2017,0.985625746,陕西
2017,0.787768884,甘肃
2017,0.316704249,青海
2017,0.292977376,宁夏
2017,0.853258464,新疆
2018,1.002127773,陕西
2018,0.826472421,甘肃
2018,0.335051098,青海
2018,0.316503759,宁夏
2018,0.893424068,新疆
2019,1.002364202,陕西
2019,0.850495952,甘肃
2019,0.369859213,青海
2019,0.359531939,宁夏
2019,0.92747764,新疆,
2020,1.055954498,陕西
2020,0.869518729,甘肃
2020,0.421654756,青海
2020,0.370509019,宁夏
2020,0.978756317,新疆
